county,registered_voters,ballots_cast,turnout_pct
Adams,8335,5417,64.99
Asotin,14951,11584,77.48
Benton,132022,101652,77.0
Chelan,53541,42606,79.58
Clallam,58598,49023,83.66
Clark,345622,278851,80.68
Columbia,2983,2501,83.84
Cowlitz,75812,59822,78.91
Douglas,27542,21387,77.65
Ferry,5247,4165,79.38
Franklin,46375,32234,69.51
Garfield,1673,1392,83.2
Grant,50213,36600,72.89
Grays Harbor,50713,38102,75.13
Island,64127,52959,82.58
Jefferson,28404,24920,87.73
King,1430421,1142444,79.87
Kitsap,197551,158201,80.08
Kittitas,31647,26737,84.49
Klickitat,16531,13723,83.01
Lewis,57421,45758,79.69
Lincoln,8641,7217,83.52
Mason,46547,36991,79.47
Okanogan,26644,20904,78.46
Pacific,17592,14357,81.61
Pend Oreille,10876,8617,79.23
Pierce,577948,443447,76.73
San Juan,15123,13141,86.89
Skagit,88818,71009,79.95
Skamania,9440,7414,78.54
Snohomish,530489,422233,79.59
Spokane,375467,289536,77.11
Stevens,35547,28563,80.35
Thurston,207296,166039,80.1
Wahkiakum,3638,3099,85.18
Walla Walla,38275,30014,78.42
Whatcom,167790,139080,82.89
Whitman,24589,20257,82.38
Yakima,133171,89573,67.26
