county,place,lat,lon
Adams,Adams County Auditor's Office,47.1273,-118.382
Adams,Adams County Public Services Building Drop Box,46.82681454,-119.1691177
Adams,Ritzville City Hall,47.12831711,-118.378471
Adams,Town of Lind - Town Clerk,46.97203634,-118.6165847
Adams,Town of Washtucna City Hall,46.75216825,-118.3143685
Asotin,Anatone County Shop,46.1356353926611,-117.131736890445
Asotin,Asotin County Courthouse Drop Box,46.34051825,-117.0534561
Asotin,Clarkston City Hall,46.41370703,-117.0436376
Asotin,Lincoln Middle School,46.39126555,-117.08124
Benton,Badger Mt Community Park,46.2346177,-119.2790898
Benton,Benton City City Hall,46.263932,-119.490154
Benton,Benton County Campus,46.223356,-119.218338
Benton,Finley Middle School,46.153889983996,-119.034084488238
Benton,Jefferson Park,46.2899,-119.274
Benton,Kennewick City Hall,46.203163,-119.118682
Benton,Prosser Auditor Office,46.2036,-119.771
Benton,Southridge Sports Complex,46.180283,-119.187683
Benton,West Richland City Hall,46.272741,-119.370993
Benton,West Richland Library,46.296514,-119.338011
Benton,WSU Tri-Cities,46.332656,-119.265358
Chelan,Cashmere City Hall,47.5212,-120.468
Chelan,Chelan City Hall,47.8413,-120.018
Chelan,Chelan County Auditor - Licensing and Recording Dept,47.4221,-120.315
Chelan,Entiat City Hall,47.6759,-120.209
Chelan,Leavenworth City Hall,47.5955,-120.664
Chelan,Manson Public Library,47.886053,-120.162137
Chelan,Wenatchee Public Library,47.4233,-120.314
Clallam,CB - Clallam Bay Drop Box,48.2516941,-124.2605305
Clallam,CV - Carlsborg Ballot Drop Box,48.0795102831133,-123.167605046506
Clallam,FW - Forks Drop Box,47.9498807959127,-124.379233817877
Clallam,NB - Neah Bay Drop Box,48.3655329911804,-124.607761808537
Clallam,PO - Port Angeles - Inside the Courthouse,48.1159,-123.433
Clallam,PV - Port Angeles - Drive-Thru Drop Box,48.115219677325,-123.432597670467
Clallam,PW - Port Angeles - Walk-up Drop Box,48.115284143792,-123.432442102349
Clallam,SB - Sekiu Ballot Drop Box,48.262416709354,-124.307346611204
Clallam,SV - Sequim Drop Box,48.0786981872129,-123.117270904877
Clark,14th & Esther Streets,45.6318,-122.676
Clark,Amboy Middle School,45.9133185,-122.4453191
Clark,Battle Ground Post Office,45.7810963182774,-122.542641425716
Clark,Brush Prairie USPS,45.7309851,-122.5514815
Clark,Camas Post Office Downtown,45.5867,-122.404
Clark,Camas-Washougal Municipal Court,45.5810753,-122.383089
Clark,Cascade Park USPS,45.623239,-122.5353031
Clark,Clark College,45.635986,-122.65255
Clark,Clark Public Utilities Operations Center,45.6846439,-122.5556213
Clark,Fisher's Landing Transit Center,45.5945,-122.505
Clark,Hazel Dell - 99th Street C-Tran Transit Center,45.6918,-122.664
Clark,Hockinson Community Center,45.7392355,-122.4876325
Clark,La Center,45.8630262,-122.6609602
Clark,Pioneer Elementary School - Frontier Middle School,45.6763741,-122.5010951
Clark,Ridgefield Junction Park and Ride,45.8177026609902,-122.682893283215
Clark,Ridgefield School District Administrative Office,45.8158895929165,-122.741660405937
Clark,Shahala Middle School,45.6177785378199,-122.474275878899
Clark,Thomas Jefferson Middle School,45.7078764,-122.7041342
Clark,Vancouver Mall,45.6565,-122.584
Clark,Washougal Library,45.5793626311492,-122.354100455225
Clark,WSU Vancouver,45.728331,-122.637638
Clark,Yacolt Primary School,45.866945,-122.411381
Columbia,Columbia County Office Building Alley,46.319261,-117.982179
Columbia,Starbuck City Hall,46.5193,-118.128
Cowlitz,Broadway Street (Ballot Drop Box),46.1391,-122.938
Cowlitz,Castle Rock (Ballot Drop Box),46.2751,-122.91
Cowlitz,Kalama (Ballot Drop Box),46.0113,-122.846
Cowlitz,Kelso Bridge Market Ln,46.1451,-122.91
Cowlitz,Kelso North Entrance,46.146084,-122.909343
Cowlitz,Longview Civic Center Circle (Ballot Drop Box),46.1393,-122.938
Cowlitz,Ryderwood (Ballot Drop Box),46.3734,-123.043
Cowlitz,Woodland City Parking Lot (Ballot Drop Box),45.9012,-122.749
Douglas,Bridgeport City Hall Drop Box,48.0097,-119.674
Douglas,Coulee Dam Town Hall,47.9637,-118.989
Douglas,Douglas County Courthouse Drop Box,47.6463,-120.069
Douglas,East Wenatchee City Hall,47.4174,-120.29
Douglas,Mansfield City Hall Drop Box,47.8116,-119.637
Douglas,Office of Public Defense,47.4077829708692,-120.286791408034
Douglas,Rock Island City Hall Drop Box,47.3754,-120.144
Ferry,Curlew Drop Box - Curlew Fire Station,48.8853,-118.609
Ferry,Danville Drop Box - Danville Outpost,48.9935,-118.507
Ferry,Inchelium  Drop Box  - Lake Roosevelt Community Health,48.296817,-118.204002
Ferry,Keller Drop Box - Sanpoil Community Health,48.0776094690128,-118.685602837064
Ferry,Orient Drop Box-Orient Fire Station,48.8659883950381,-118.201305542744
Ferry,Republic City Hall,48.6441,-118.737
Franklin,Connell PUD Shop,46.66339,-118.86769
Franklin,Fire District No 2,46.64321137,-118.5581582
Franklin,Fire District No 3,46.24744,-119.2016
Franklin,Franklin County Annex - Elections Center,46.23177,-119.09107
Franklin,Franklin County Courthouse Drop Box,46.23742,-119.09571
Franklin,Mesa City Hall,46.57835,-119.00563
Franklin,The HAPO Center (TRAC),46.26913,-119.17678
Garfield,Garfield County Drop Box,46.47491,-117.599953
Grant,Coulee City City Hall,47.610988,-119.294259
Grant,Electric City City Hall,47.93150158,-119.0388165
Grant,George City Hall,47.080272,-119.855371
Grant,Grand Coulee,47.9373635910412,-119.007532389784
Grant,Grant County Courthouse,47.322241,-119.553089
Grant,Hartline,47.68852248,-119.1088328
Grant,Krupp,47.408245,-118.984332
Grant,Mattawa Hospital,46.737683,-119.904502
Grant,Moses Lake City Hall,47.1313,-119.274
Grant,Quincy Public Library,47.2356,-119.853
Grant,Royal City,46.899912,-119.628322
Grant,Soap Lake  City Hall,47.387094,-119.485769
Grant,Warden Community Center,46.970709,-119.041533
Grant,Wilson Creek,47.421862,-119.125903
Grays Harbor,Aberdeen Tesla Parking Lot,46.976516,-123.81421
Grays Harbor,Cosmopolis City Hall,46.954931,-123.770023
Grays Harbor,Elma City Hall,47.0049,-123.403
Grays Harbor,Hoquiam YMCA,46.9752,-123.868
Grays Harbor,McCleary Area,47.054489,-123.26509
Grays Harbor,Montesano Drop Box,46.9816,-123.602
Grays Harbor,Oakville City Hall,46.8397,-123.233
Grays Harbor,Ocean Shores Police Department Station,47.0009750620983,-124.161107573974
Grays Harbor,Taholah,47.338918,-124.286532
Grays Harbor,Westport City Administration,46.8916,-124.104
Island,Camano Island Annex,48.214903,-122.478282
Island,Island County Auditor's,48.21655,-122.68653
Island,Ken's Korner Red Apple Grocery,47.991044,-122.39533
Island,Langley Post Office,48.039791,-122.406781
Island,Oak Harbor City Hall,48.29058,-122.64708
Island,Trinity Lutheran Church,48.008917,-122.534852
Jefferson,Brinnon Community Center,47.69798,-122.89704
Jefferson,Hoh Indian Nation,47.740727,-124.412578
Jefferson,Jefferson County Courthouse - Back Parking Lot,48.11231,-122.76785
Jefferson,Jefferson County Courthouse Entrance,48.1122,-122.76748
Jefferson,Jefferson County Library,48.03273,-122.77285
Jefferson,"Nordland, East Jefferson Fire & Rescue Station 12",48.04363,-122.69161
Jefferson,Olympic Peninsula Gateway Visitor Center,47.89133,-122.73187
Jefferson,Quilcene Community Center,47.82165,-122.87918
Jefferson,Quinault Indian Nation (Queets),47.53914,-124.33267
King,12th & Cherry,47.607981,-122.316133
King,Alaska Junction,47.561067,-122.387843
King,Algona Pacific Library,47.2716822,-122.2540566
